PID,BIAS,RELATEDNESS,REPS,MS
6,subordinate,related,long,1368
6,subordinate,related,long,1535
6,subordinate,related,long,1646
6,subordinate,related,short,787
6,subordinate,related,short,
6,subordinate,related,short,
6,subordinate,related,short,1108
6,subordinate,related,short,
6,subordinate,related,short,1452
6,subordinate,related,short,1500
6,subordinate,related,short,1572
6,subordinate,related,short,
6,subordinate,unrelated,long,1014
6,subordinate,unrelated,long,1054
6,subordinate,unrelated,long,
6,subordinate,unrelated,long,1596
6,subordinate,unrelated,long,1767
6,subordinate,unrelated,long,1848
6,subordinate,unrelated,long,2201
6,subordinate,unrelated,long,3537
6,subordinate,unrelated,long,4620
6,subordinate,unrelated,short,939
6,subordinate,unrelated,short,1123
6,subordinate,unrelated,short,1139
6,subordinate,unrelated,short,1228
6,subordinate,unrelated,short,1396
6,subordinate,unrelated,short,1429
6,subordinate,unrelated,short,
6,subordinate,unrelated,short,
6,subordinate,unrelated,short,2091
7,dominant,related,long,947
7,dominant,related,long,1006
7,dominant,related,long,1069
7,dominant,related,long,1139
7,dominant,related,long,1254
7,dominant,related,long,1276
7,dominant,related,long,1413
7,dominant,related,long,1439
7,dominant,related,long,1621
7,dominant,related,short,785
7,dominant,related,short,857
7,dominant,related,short,920
7,dominant,related,short,930
7,dominant,related,short,948
7,dominant,related,short,950
7,dominant,related,short,1002
7,dominant,related,short,1115
7,dominant,related,short,1278
7,dominant,unrelated,long,837
7,dominant,unrelated,long,911
7,dominant,unrelated,long,1083
7,dominant,unrelated,long,1139
7,dominant,unrelated,long,1279
7,dominant,unrelated,long,1361
7,dominant,unrelated,long,1575
7,dominant,unrelated,long,1757
7,dominant,unrelated,long,1848
7,dominant,unrelated,short,864
7,dominant,unrelated,short,892
7,dominant,unrelated,short,930
7,dominant,unrelated,short,947
7,dominant,unrelated,short,964
7,dominant,unrelated,short,1082
7,dominant,unrelated,short,1379
7,dominant,unrelated,short,1400
7,dominant,unrelated,short,1628
7,filler,related,long,822
7,filler,related,long,826
7,filler,related,long,867
7,filler,related,long,906
7,filler,related,long,1072
7,filler,related,long,1086
7,filler,related,long,1156
7,filler,related,long,1243
7,filler,related,long,1250
7,filler,related,long,1293
7,filler,related,long,1300
7,filler,related,long,1429
7,filler,related,long,1521
7,filler,related,long,1599
7,filler,related,long,2077
7,filler,related,short,651
7,filler,related,short,816
7,filler,related,short,835
7,filler,related,short,874
7,filler,related,short,933
7,filler,related,short,947
7,filler,related,short,979
7,filler,related,short,992
7,filler,related,short,1060
